cycle,base,info,structural,incentives,combined,gain
253,7.279137287,20.65532974,9.767731232,14.53753629,51.7005392,21.29821651
254,7.15470759,20.77975944,10.03732891,14.35089175,52.15678142,21.2982165
255,7.279137287,20.38573206,9.871422646,14.64122771,52.28121112,21.94110328
256,7.362090419,20.55163832,9.809207798,14.66196599,51.80423061,21.50559934
257,7.279137287,20.61385317,9.995852343,14.30941518,52.28121112,21.920365
258,7.133969307,20.63459146,10.01659063,14.30941518,52.4263791,21.73372044
259,7.29987557,20.59311489,10.01659063,14.51679801,52.36416425,21.83741186
260,6.947324762,20.55163832,9.933637495,14.35089175,52.01161344,21.0700954
261,7.092492742,20.80049772,9.788469515,14.0398175,52.26047283,21.81667358
262,7.175445873,20.48942348,9.995852343,14.37163003,51.92866031,21.4226462
263,7.071754459,20.6968063,10.05806719,14.59975114,52.34342596,21.13231025
264,7.175445873,20.821236,10.07880547,14.14350892,52.19825798,21.50559934
265,7.237660722,20.51016176,9.809207798,14.20572377,52.40564081,22.35586893
266,7.29987557,20.77975944,10.07880547,14.18498548,52.40564081,21.96184156
267,7.382828702,20.46868519,10.07880547,14.20572377,52.63376192,22.64620489
268,6.926586479,20.51016176,9.975114061,14.1642472,52.50933223,21.71298217
269,7.258399005,20.80049772,9.954375778,14.80713397,52.38490253,21.33969307
270,7.216922439,20.51016176,9.995852343,14.59975114,52.38490253,21.71298217
271,7.216922439,20.86271257,9.850684363,14.2886769,52.63376192,22.06553297
272,7.175445873,20.75902115,9.933637495,14.68270427,52.19825798,21.17378681
273,7.216922439,20.53090004,10.09954376,14.55827457,52.46785566,21.71298217
274,7.175445873,20.80049772,9.933637495,14.68270427,52.32268768,21.25673994
275,7.175445873,20.63459146,10.09954376,14.62048942,52.53007051,21.52633762
276,7.403566985,20.80049772,9.850684363,14.06055579,52.32268768,22.41808378
277,7.216922439,20.36499378,10.03732891,14.30941518,52.7789299,22.50103691
278,7.382828702,20.84197428,10.01659063,14.22646205,52.7789299,22.45956034
279,7.29987557,20.6968063,10.12028204,14.62048942,52.92409788,22.08627126
280,7.175445873,20.53090004,9.995852343,14.18498548,53.27664869,22.91580257
281,7.175445873,20.71754459,9.995852343,14.57901286,52.79966819,21.85815014
282,7.175445873,20.86271257,9.850684363,14.35089175,52.94483617,22.23143923
283,7.424305268,20.51016176,9.933637495,14.2886769,52.86188304,22.97801742
284,7.486520116,20.46868519,9.871422646,13.87391124,52.94483617,23.70385733
285,7.051016176,20.80049772,9.975114061,14.59975114,52.75819162,21.48486105
286,7.320613853,20.86271257,9.746992949,14.20572377,52.9033596,22.72915802
287,7.237660722,20.71754459,9.788469515,14.01907922,53.25591041,23.20613853
288,7.341352136,20.84197428,9.850684363,14.22646205,53.13148071,22.89506429
289,7.133969307,20.6968063,9.82994608,14.49605973,53.38034011,22.62546661
290,7.196184156,20.65532974,10.01659063,14.26793861,53.11074243,22.56325176
291,7.175445873,21.02861883,10.09954376,14.33015346,53.48403152,22.37660722
292,7.320613853,20.67606802,10.01659063,14.57901286,52.98631273,22.35586893
293,7.030277893,20.96640398,9.954375778,14.41310659,52.98631273,21.71298217
294,7.15470759,21.17378681,9.954375778,14.37163003,53.21443384,22.0240564
295,7.133969307,21.0700954,9.954375778,14.06055579,53.09000415,22.2729158
296,7.133969307,20.38573206,9.995852343,14.49605973,52.84114475,22.23143923
297,7.15470759,20.53090004,9.809207798,14.68270427,53.33886354,22.62546661
298,7.092492742,20.77975944,9.746992949,14.20572377,53.38034011,22.83284944
299,7.175445873,20.73828287,9.975114061,14.20572377,53.42181667,22.85358772
300,7.362090419,20.92492742,9.892160929,14.18498548,53.42181667,23.14392368
301,7.320613853,20.71754459,9.726254666,14.43384488,52.98631273,22.7498963
302,7.071754459,20.6968063,10.01659063,14.53753629,53.33886354,22.23143924
303,7.175445873,20.90418913,10.01659063,14.45458316,53.21443384,22.18996267
304,7.092492742,21.00788055,9.954375778,14.10203235,53.40107839,22.5217752
305,7.362090419,20.80049772,9.912899212,14.70344255,53.19369556,22.50103692
306,7.216922439,20.73828287,9.892160929,14.49605973,53.35960182,22.66694317
307,7.196184156,20.77975944,9.892160929,14.97304023,53.81584405,22.56325176
308,7.320613853,20.40647034,9.933637495,14.66196599,53.44255496,23.08170884
309,7.237660722,20.821236,9.82994608,14.1642472,53.77436748,23.43425964
310,7.00953961,20.86271257,9.788469515,14.62048942,53.71215263,22.45956035
311,7.279137287,20.821236,9.809207798,14.55827457,54.16839486,23.53795107
312,7.196184156,20.84197428,10.01659063,14.93156367,53.79510577,22.3973455
313,7.237660722,20.80049772,9.995852343,14.57901286,53.83658233,22.93654085
314,6.905848196,20.30277893,10.09954376,14.57901286,53.23517213,22.06553297
315,7.258399005,20.38573206,10.01659063,14.2886769,53.98175031,23.80754873
316,7.424305268,20.53090004,9.933637495,14.39236831,53.71215263,23.70385732
317,7.092492742,20.92492742,9.995852343,13.93612609,53.67067607,22.9987557
318,7.133969307,20.86271257,9.933637495,14.45458316,53.91953546,22.93654085
