cycle,inc_str_info,info_inc_str,str_info_inc
554,50.55993364,52.98631273,53.31812526
555,50.70510162,53.48403152,52.98631273
556,50.35255081,53.00705102,52.61302364
557,50.58067192,53.13148071,52.94483617
558,50.7258399,53.06926586,53.17295728
559,50.41476566,52.86188304,52.79966819
560,50.29033596,53.27664869,53.04852758
561,50.18664455,52.92409788,53.21443384
562,50.18664455,53.27664869,53.44255496
563,50.64288677,52.84114475,53.27664869
564,50.47698051,53.21443384,52.94483617
565,50.64288677,53.13148071,53.13148071
566,50.35255081,52.94483617,53.00705102
567,50.64288677,53.33886354,53.23517213
568,50.55993364,53.46329324,53.25591041
569,50.41476566,53.40107839,52.96557445
570,50.41476566,53.38034011,53.04852758
571,50.47698051,53.23517213,52.82040647
572,50.53919535,53.35960182,53.00705102
573,50.80879303,53.04852758,53.25591041
574,50.58067192,53.33886354,53.50476981
575,50.35255081,53.27664869,52.75819162
576,50.45624222,53.06926586,52.9033596
577,50.35255081,52.94483617,53.13148071
578,50.47698051,53.69141435,53.09000415
579,50.14516798,53.33886354,53.06926586
580,50.37328909,53.33886354,52.84114475
581,50.74657818,52.69597677,53.21443384
582,50.62214849,53.23517213,53.35960182
583,50.43550394,52.94483617,52.96557445
584,50.14516798,52.86188304,52.57154708
585,50.47698051,53.0277893,52.65450021
586,50,53.25591041,53.19369556
587,50.45624222,52.94483617,52.63376192
588,50.62214849,52.71671506,53.04852758
589,50.31107424,52.94483617,52.9033596
590,50.31107424,52.9033596,53.11074243
591,50.62214849,53.31812526,53.09000415
592,50.7258399,53.0277893,53.00705102
593,50.6014102,53.44255496,52.7789299
594,50.51845707,53.40107839,52.61302364
595,50.37328909,53.50476981,52.86188304
596,50.47698051,53.25591041,52.84114475
597,50.51845707,53.77436748,53.21443384
598,50.6014102,53.27664869,53.09000415
599,50.20738283,53.54624637,52.73745334
600,50.41476566,53.25591041,52.96557445
601,50.6014102,53.17295728,52.94483617
602,50.22812111,53.35960182,53.04852758
603,50.62214849,53.33886354,52.98631273
604,50.49771879,53.17295728,52.59228536
605,50.20738283,53.31812526,53.152219
606,50.45624222,52.82040647,53.152219
607,50.64288677,53.27664869,53.19369556
608,50.68436333,52.84114475,52.84114475
609,50.18664455,52.9033596,53.09000415
610,50.39402737,52.88262132,53.0277893
611,50.16590626,53.31812526,52.79966819
612,50.14516798,52.92409788,53.11074243
613,50.49771879,53.29738698,53.25591041
614,50.78805475,53.04852758,52.92409788
615,50.89174616,53.17295728,52.7789299
616,50.68436333,53.52550809,52.84114475
617,50.18664455,53.25591041,53.00705102
618,50.26959768,53.52550809,52.46785566
619,50.39402737,52.98631273,53.21443384
620,50.22812111,53.38034011,53.06926586
621,50.66362505,53.60846122,52.67523849
622,50.7258399,53.73289092,52.92409788
623,50.82953131,53.09000415,53.152219
624,50.74657818,53.23517213,53.19369556
625,50.58067192,53.35960182,52.84114475
626,50.68436333,53.31812526,53.04852758
627,50.55993364,53.23517213,52.86188304
628,50.22812111,53.21443384,52.82040647
629,49.91704687,53.54624637,52.53007051
630,50.68436333,53.56698465,53.09000415
631,50.76731647,53.52550809,53.0277893
632,50.6014102,53.33886354,52.9033596
633,50.26959768,53.44255496,52.71671506
634,50.7258399,53.40107839,52.82040647
635,50.41476566,52.96557445,53.04852758
636,50.37328909,53.17295728,52.79966819
637,50.64288677,53.42181667,53.42181667
638,50.18664455,53.31812526,53.09000415
639,50.18664455,53.23517213,53.11074243
640,50.47698051,53.25591041,52.63376192
641,50.35255081,53.152219,52.69597677
642,50.22812111,53.42181667,52.73745334
643,50.49771879,53.04852758,52.84114475
644,50.95396101,53.56698465,52.50933223
645,50.35255081,53.46329324,52.96557445
646,50.51845707,53.23517213,52.84114475
647,50.62214849,53.23517213,53.00705102
648,50.39402737,53.152219,52.7789299
649,50.64288677,52.92409788,52.69597677
650,50.22812111,53.27664869,52.84114475
651,50.97469929,53.52550809,52.75819162
652,50.6014102,53.38034011,52.82040647
653,50.8502696,53.67067607,52.69597677
654,50.64288677,53.48403152,52.59228536
655,50.6014102,53.17295728,52.98631273
656,50.20738283,53.09000415,52.84114475
657,50.37328909,53.11074243,52.94483617
658,50.43550394,53.33886354,52.84114475
659,50.49771879,53.56698465,52.59228536
660,50.35255081,53.0277893,52.61302364
661,50.37328909,52.98631273,52.92409788
662,50.26959768,53.0277893,52.23973455
663,50.1244297,53.44255496,52.53007051
664,49.93778515,53.19369556,53.0277893
665,50.22812111,53.42181667,52.71671506
666,50.1244297,53.33886354,52.61302364
667,50.47698051,53.6291995,52.84114475
668,50.24885939,53.35960182,52.75819162
669,50.43550394,53.21443384,52.32268768
670,50.24885939,52.84114475,52.79966819
671,50.20738283,53.27664869,52.67523849
672,50.31107424,53.152219,53.0277893
673,50.24885939,53.13148071,52.86188304
674,50.58067192,53.50476981,52.65450021
675,50.24885939,53.11074243,52.84114475
676,50.26959768,53.52550809,52.92409788
677,50.41476566,53.29738698,52.69597677
678,50.35255081,53.50476981,52.59228536
679,50.29033596,53.40107839,52.46785566
680,50.24885939,53.79510577,52.82040647
681,50.37328909,53.42181667,52.7789299
682,50.55993364,53.23517213,52.92409788
683,50.33181253,53.58772294,52.36416425
684,50.45624222,53.52550809,52.32268768
685,50.58067192,53.11074243,52.67523849
686,50.49771879,53.50476981,52.88262132
687,50.31107424,53.23517213,52.79966819
688,50.6014102,53.50476981,52.79966819
689,50.26959768,53.58772294,52.65450021
690,50.26959768,53.40107839,52.46785566
691,50.16590626,53.64993779,52.65450021
692,50.29033596,53.6291995,52.88262132
693,50.24885939,53.56698465,52.44711738
694,50.55993364,53.33886354,52.59228536
695,50.58067192,52.86188304,53.0277893
696,50.43550394,53.58772294,52.55080879
