sort_frequency_habit,sort_frequency_nohabit
0,0.522613065
0.989949749,0.175879397
0.974874372,0.64321608
0.989949749,0.487437186
0.763819095,0.502512563
0.050251256,0.346733668
0.939698492,0.547738693
0,0.105527638
1,0.316582915
0.030150754,0.603015075
0.91959799,0.361809045
0,0.477386935
0.015075377,0.462311558
0.994974874,0.492462312
0.005025126,0.577889447
0,0.175879397
0.979899497,0.527638191
0.040201005,0.59798995
0.070351759,0.462311558
1,0.613065327
0.020100503,0.613065327
0.773869347,0.432160804
0.035175879,0.376884422
0.025125628,0.457286432
0.814070352,0.396984925
0.040201005,0.386934673
0.020100503,0.005025126
0.015075377,0.391959799
0.809045226,0.477386935
0.949748744,0.286432161
0,0.708542714
0.115577889,0.552763819
0.030150754,0.753768844
0.025125628,0.557788945
0,0.412060302
0.894472362,0.552763819
0.015075377,0.24120603
0.934673367,0.467336683
0.954773869,0.376884422
0.005025126,0.281407035
0.185929648,0.497487437
0.040201005,0.060301508
0.040201005,0.56281407
0.72361809,0.190954774
0.060301508,0.35678392
0.045226131,0.497487437
0.015075377,0.407035176
0,0.693467337
0.010050251,0.40201005
0.040201005,0.381909548
0.030150754,0.683417085
0.050251256,0.557788945
0.050251256,0.422110553
0.130653266,0.40201005
0.974874372,0.155778894
0,0.40201005
0,0.306532663
0.015075377,0.623115578
0.005025126,0.492462312
0,0.592964824
0.944723618,0.572864322
0.904522613,0.216080402
0.879396985,0.381909548
0.015075377,0.738693467
0.045226131,0.251256281
0.020100503,0.135678392
0.050251256,0.72361809
0.040201005,0.64321608
0.91959799,0.296482412
0.015075377,0.859296482
0.015075377,0.557788945
0.020100503,0.633165829
0.005025126,0.341708543
0.015075377,0.211055276
0.969849246,0.48241206
0.010050251,0.251256281
0.010050251,0.809045226
0.005025126,0.713567839
0.005025126,0.472361809
0.045226131,0.59798995
0.020100503,0.301507538
0.864321608,0.442211055
0.020100503,0.27638191
0.994974874,0.467336683
0.809045226,0.653266332
0.060301508,0.361809045
0,0.834170854
0.979899497,0.351758794
0.005025126,0.251256281
0.045226131,0.457286432
0,0.668341709
1,0.206030151
0.974874372,0.507537688
0.030150754,0.236180905
0.08040201,0.492462312
0.984924623,0.753768844
1,0.623115578
0.989949749,0.512562814
0.909547739,0.281407035
0.834170854,0.427135678
1,0.633165829
0.015075377,0.145728643
0.010050251,0.743718593
0,1
0.899497487,0.56281407
1,0.497487437
0.728643216,0.065326633
0.020100503,0.527638191
0.015075377,0.190954774
0.924623116,0.32160804
0.005025126,0.326633166
0,0.396984925
0.924623116,0.251256281
1,0.67839196
0,0.140703518
1,0.130653266
0.055276382,0.316582915
0.909547739,0.497487437
0.065326633,0.854271357
0.979899497,0.407035176
0.070351759,0.557788945
0.899497487,0.542713568
0.020100503,0.522613065
0.572864322,0.56281407
0.005025126,0.577889447
0.994974874,0.618090452
